Time,LeftEncoder,RightEncoder,EstimatedDistance
40.31999999999999,184.58176,361.33864,9.007686600000001
40.352000000000004,184.54408,361.37632,9.0076866
40.384,184.5064,361.414,9.0076866
40.416,184.46244,361.45168,9.00758298
40.44799999999999,184.42476,361.49564,9.0076866
40.480000000000004,184.38708,361.53332,9.0076866
40.512,184.3494,361.571,9.0076866
40.544,184.31172,361.60868,9.0076866
40.57599999999999,184.26776,361.64636,9.007582980000002
40.608000000000004,184.23008,361.68404,9.007582979999999
40.64,184.1924,361.728,9.0076866
40.672,184.15472,361.76568,9.0076866
40.70399999999999,184.11704,361.80336,9.0076866
40.736000000000004,184.07936,361.84104,9.007686600000001
40.768,184.0354,361.87872,9.00758298
40.8,183.99772,361.92268,9.0076866
40.831999999999994,183.96004,361.96036,9.0076866
40.864000000000004,183.92236,361.99804,9.0076866
40.896,183.88468,362.03572,9.007686600000001
40.928,183.847,362.0734,9.0076866
40.959999999999994,183.80304,362.11108,9.00758298
40.992000000000004,183.76536,362.15504,9.0076866
41.024,183.72768,362.19272,9.0076866
41.056,183.69,362.2304,9.0076866
41.087999999999994,183.65232,362.26808,9.007686600000001
41.120000000000005,183.60836,362.30576,9.00758298
41.152,183.57068,362.34344,9.00758298
41.184,183.533,362.3874,9.0076866
41.215999999999994,183.49532,362.42508,9.0076866
41.248000000000005,183.45764,362.46276,9.007686600000001
41.28,183.41996,362.50044,9.007686600000001
41.312,183.376,362.53812,9.00758298
41.343999999999994,183.33832,362.58208,9.007686600000001
41.376000000000005,183.30064,362.61976,9.0076866
41.408,183.26296,362.65744,9.0076866
41.44,183.22528,362.69512,9.0076866
41.471999999999994,183.1876,362.7328,9.0076866
41.50399999999999,183.14364,362.77048,9.007582980000002
41.536,183.10596,362.81444,9.0076866
41.568,183.06828,362.85212,9.0076866
41.599999999999994,183.0306,362.8898,9.0076866
41.63199999999999,182.99292,362.92748,9.0076866
41.664,182.94896,362.96516,9.00758298
41.696,182.91128,363.00284,9.00758298
41.727999999999994,182.8736,363.0468,9.007686600000001
41.75999999999999,182.83592,363.08448,9.0076866
41.792,182.79824,363.12216,9.0076866
41.824,182.76056,363.15984,9.0076866
41.855999999999995,182.7166,363.19752,9.00758298
41.88799999999999,182.67892,363.24148,9.007686600000001
41.92,182.64124,363.27916,9.007686600000001
41.952,182.60356,363.31684,9.0076866
41.983999999999995,182.56588,363.35452,9.0076866
42.01599999999999,182.5282,363.3922,9.0076866
42.048,182.48424,363.42988,9.00758298
42.08,182.44656,363.47384,9.0076866
42.111999999999995,182.40888,363.51152,9.0076866
42.14399999999999,182.3712,363.5492,9.0076866
42.176,182.33352,363.58688,9.007686600000001
42.208,182.29584,363.62456,9.0076866
42.239999999999995,182.25188,363.66224,9.00758298
42.27199999999999,182.2142,363.7062,9.007686600000001
42.304,182.17652,363.74388,9.0076866
42.336,182.13884,363.78156,9.007686600000001
42.367999999999995,182.10116,363.81924,9.0076866
42.39999999999999,182.0572,363.85692,9.00758298
42.432,182.01952,363.8946,9.007582980000002
42.464,181.98184,363.93856,9.0076866
42.495999999999995,181.94416,363.97624,9.007686600000001
42.52799999999999,181.90648,364.01392,9.0076866
42.56,181.8688,364.0516,9.0076866
42.592,181.82484,364.08928,9.00758298
42.623999999999995,181.78716,364.13324,9.0076866
42.65599999999999,181.74948,364.17092,9.007686600000001
42.688,181.7118,364.2086,9.007686600000001
42.72,181.67412,364.24628,9.0076866
42.751999999999995,181.63644,364.28396,9.0076866
42.78399999999999,181.59248,364.32164,9.00758298
42.816,181.5548,364.3656,9.0076866
42.848,181.51712,364.40328,9.007686600000001
42.879999999999995,181.47944,364.44096,9.007686600000001
42.91199999999999,181.44176,364.47864,9.0076866
42.944,181.3978,364.51632,9.00758298
42.976,181.36012,364.554,9.00758298
43.007999999999996,181.32244,364.59796,9.007686600000001
43.03999999999999,181.28476,364.63564,9.0076866
43.072,181.24708,364.67332,9.0076866
43.104,181.2094,364.711,9.007686600000001
43.135999999999996,181.16544,364.74868,9.00758298
