time_s,step,error_m
90.933,473,0.101575
90.964,474,0.185544
91.471,475,0.039345
91.960,476,0.011683
91.989,477,0.094583
92.014,478,0.097986
92.042,479,0.152881
92.073,480,0.056046
92.100,481,0.189150
92.167,482,0.094028
92.203,483,0.060163
92.236,484,0.061793
92.272,485,0.055037
92.315,486,0.035867
92.359,487,0.059102
92.396,488,0.103654
92.440,489,0.050006
92.525,490,0.042272
92.593,491,0.125254
92.645,492,0.131659
92.713,493,0.103926
92.773,494,0.071436
92.841,495,0.054036
92.911,496,0.132580
92.998,497,0.202784
93.553,498,0.119185
93.592,499,0.118985
93.626,500,0.109418
94.377,501,0.094005
94.406,502,0.098995
94.441,503,0.107648
94.483,504,0.096791
94.530,505,0.033844
94.567,506,0.079816
95.185,507,0.047564
95.246,508,0.082246
95.281,509,0.080437
95.320,510,0.035205
95.360,511,0.088170
95.453,512,0.029392
95.493,513,0.075276
95.540,514,0.036728
95.621,515,0.108918
95.693,516,0.097570
95.746,517,0.051710
95.808,518,0.020565
95.868,519,0.094008
95.956,520,0.075267
96.015,521,0.151772
96.748,522,0.087698
97.458,523,0.071589
98.182,524,0.118729
98.228,525,0.179319
98.274,526,0.114965
98.309,527,0.089828
98.897,528,0.059219
99.467,529,0.107076
100.050,530,0.080352
100.621,531,0.088816
101.216,532,0.255430
101.811,533,0.087842
102.402,534,0.141246
102.973,535,0.109583
103.584,536,0.070627
104.254,537,0.133194
104.945,538,0.111907
105.733,539,0.113409
106.448,540,0.056682
107.159,541,0.204342
107.828,542,0.066974
108.492,543,0.155601
109.208,544,0.106514
110.030,545,0.041092
110.056,546,0.094081
110.086,547,0.049214
110.758,548,0.091702
111.478,549,0.133585
111.505,550,0.105810
111.539,551,0.113949
111.570,552,0.142573
112.194,553,0.061076
112.830,554,0.100977
113.681,555,0.025523
113.708,556,0.059161
114.522,557,0.092192
115.311,558,0.095212
116.030,559,0.117881
116.785,560,0.118908
117.640,561,0.070792
118.467,562,0.138365
119.258,563,0.123748
119.978,564,0.072647
120.753,565,0.059593
121.629,566,0.042823
122.678,567,0.020829
123.673,568,0.044776
124.451,569,0.114831
125.277,570,0.130019
126.188,571,0.194573
127.031,572,0.062125
127.868,573,0.047536
128.694,574,0.063419
129.604,575,0.085520
130.579,576,0.068731
131.418,577,0.021661
132.165,578,0.078062
133.048,579,0.096460
134.016,580,0.133566
134.855,581,0.158499
135.794,582,0.068074
136.556,583,0.054993
137.365,584,0.027288
138.281,585,0.083188
139.092,586,0.157753
139.899,587,0.043382
140.702,588,0.075258
141.532,589,0.054669
142.463,590,0.043844
143.297,591,0.073587
144.098,592,0.070268
144.909,593,0.045035
145.882,594,0.086730
146.762,595,0.170597
146.787,596,0.105180
146.817,597,0.124278
146.853,598,0.106797
146.880,599,0.022674
147.674,600,0.044362
148.377,601,0.188430
149.074,602,0.084744
149.966,603,0.135012
149.991,604,0.168867
150.896,605,0.134067
151.735,606,0.174280
151.757,607,0.075840
151.785,608,0.036863
151.816,609,0.076177
152.546,610,0.042114
153.327,611,0.040495
153.359,612,0.049853
153.390,613,0.089285
154.264,614,0.074782
155.112,615,0.012627
156.028,616,0.128617
157.198,617,0.075606
158.206,618,0.028821
159.134,619,0.094120
160.016,620,0.047485
160.861,621,0.026452
161.843,622,0.028766
162.861,623,0.054178
162.887,624,0.020756
163.817,625,0.030688
164.720,626,0.040562
165.707,627,0.044768
166.718,628,0.003516
167.641,629,0.119614
167.668,630,0.188859
167.712,631,0.131981
167.756,632,0.154314
168.980,633,0.149311
170.160,634,0.064627
171.412,635,0.175123
171.450,636,0.048835
171.477,637,0.077640
171.506,638,0.090536
171.539,639,0.100774
172.386,640,0.168755
173.211,641,0.109654
174.486,642,0.130125
175.423,643,0.077040
176.311,644,0.107612
177.225,645,0.080551
178.270,646,0.137883
179.209,647,0.155623
180.142,648,0.155365
181.094,649,0.107669
182.170,650,0.064008
183.158,651,0.111145
184.087,652,0.124222
184.986,653,0.069025
186.043,654,0.082350
187.046,655,0.083555
188.012,656,0.093204
188.926,657,0.077073
189.962,658,0.107444
191.025,659,0.083454
191.994,660,0.033254
192.904,661,0.023105
193.935,662,0.026004
194.952,663,0.067473
195.959,664,0.035740
196.903,665,0.121432
197.987,666,0.112515
199.015,667,0.085890
200.002,668,0.060285
200.918,669,0.039005
201.980,670,0.072224
203.052,671,0.030237
204.038,672,0.030980
204.954,673,0.035447
206.032,674,0.067672
207.122,675,0.094853
208.176,676,0.108922
209.142,677,0.030645
210.252,678,0.016899
211.297,679,0.061932
212.279,680,0.038033
213.269,681,0.064500
214.382,682,0.050139
215.414,683,0.079186
216.412,684,0.121325
217.391,685,0.093428
218.528,686,0.159919
219.584,687,0.127049
220.584,688,0.095992
221.651,689,0.073844
222.801,690,0.024859
223.870,691,0.064854
224.852,692,0.099319
226.167,693,0.091222
227.266,694,0.051393
228.289,695,0.038335
229.333,696,0.044746
230.512,697,0.029952
231.602,698,0.051875
232.606,699,0.035749
233.660,700,0.085602
234.835,701,0.122967
236.189,702,0.110927
237.893,703,0.056644
239.247,704,0.030176
240.340,705,0.014252
241.455,706,0.010771
242.760,707,0.019848
243.865,708,0.027762
244.875,709,0.011749
245.986,710,0.041949
247.193,711,0.014084
248.284,712,0.027390
249.333,713,0.029835
250.525,714,0.134157
251.708,715,0.111289
252.768,716,0.103240
253.878,717,0.044162
255.128,718,0.069947
256.385,719,0.040552
257.689,720,0.034473
258.932,721,0.048234
260.082,722,0.021035
261.136,723,0.057955
262.289,724,0.049448
263.505,725,0.038351
264.630,726,0.086096
266.106,727,0.031522
267.379,728,0.074925
268.508,729,0.076193
269.592,730,0.060200
270.915,731,0.024213
272.506,732,0.049855
273.789,733,0.032074
275.112,734,0.003006
276.541,735,0.034867
277.759,736,0.033616
279.027,737,0.042935
280.179,738,0.025035
281.306,739,0.029376
282.567,740,0.043639
283.806,741,0.002674
284.916,742,0.046722
286.094,743,0.034057
287.421,744,0.056386
288.594,745,0.015766
289.699,746,0.033690
291.027,747,0.035283
292.284,748,0.045157
293.454,749,0.022486
294.728,750,0.047175
297.715,751,0.028417
299.203,752,0.033553
300.656,753,0.043814
301.823,754,0.036519
303.123,755,0.051540
304.315,756,0.020923
305.424,757,0.052812
306.748,758,0.028246
308.012,759,0.043505
309.168,760,0.011367
310.381,761,0.023143
311.692,762,0.036605
312.891,763,0.020607
314.040,764,0.020529
315.358,765,0.022971
316.845,766,0.031119
318.225,767,0.039192
319.564,768,0.007580
320.762,769,0.051510
322.048,770,0.076754
323.671,771,0.004228
324.912,772,0.037947
326.117,773,0.005805
326.145,774,0.029320
326.176,775,0.038230
327.477,776,0.014295
327.549,777,0.021875
329.094,778,0.034231
330.771,779,0.051497
332.198,780,0.004629
333.585,781,0.011021
335.122,782,0.033192
337.433,783,0.034750
338.983,784,0.078669
341.317,785,0.030859
343.295,786,0.036453
346.001,787,0.015191
347.991,788,0.012342
349.642,789,0.041795
351.317,790,0.017654
352.950,791,0.008651
354.222,792,0.021146
355.634,793,0.015976
357.080,794,0.009837
359.008,795,0.035318
360.548,796,0.034078
361.854,797,0.061443
363.398,798,0.042523
364.942,799,0.029429
366.291,800,0.058358
367.939,801,0.057492
369.535,802,0.025007
370.930,803,0.051514
372.425,804,0.030559
373.884,805,0.054246
375.522,806,0.051441
377.030,807,0.035313
378.849,808,0.059865
380.683,809,0.055785
382.876,810,0.018659
384.794,811,0.050889
386.458,812,0.081238
388.091,813,0.059825
389.610,814,0.085420
391.187,815,0.049992
392.771,816,0.047397
394.170,817,0.066117
396.020,818,0.068292
397.510,819,0.052491
398.927,820,0.085958
400.535,821,0.072148
401.961,822,0.059977
403.541,823,0.063426
405.016,824,0.045939
406.447,825,0.079591
408.124,826,0.066267
409.666,827,0.076593
411.152,828,0.082892
412.875,829,0.075139
414.321,830,0.092445
415.741,831,0.078104
417.162,832,0.086982
418.918,833,0.062695
420.641,834,0.082626
422.444,835,0.081630
424.470,836,0.093594
426.394,837,0.081863
428.348,838,0.094790
430.553,839,0.061013
432.422,840,0.085870
434.251,841,0.095834
436.138,842,0.059099
437.941,843,0.062338
439.938,844,0.077324
441.628,845,0.066322
443.532,846,0.052248
445.703,847,0.081853
447.799,848,0.085293
449.546,849,0.099321
451.046,850,0.135452
452.546,851,0.106221
453.927,852,0.094703
455.924,853,0.072842
457.512,854,0.074165
457.539,855,0.064873
459.360,856,0.067774
461.112,857,0.085052
462.985,858,0.084498
464.890,859,0.071381
466.607,860,0.085317
466.646,861,0.088493
466.680,862,0.091681
466.720,863,0.074330
468.408,864,0.063130
469.767,865,0.069266
471.659,866,0.080934
473.422,867,0.078958
475.032,868,0.073632
476.754,869,0.079470
478.413,870,0.074947
480.238,871,0.075453
481.870,872,0.090620
483.650,873,0.079000
485.680,874,0.078355
487.792,875,0.055147
489.987,876,0.075242
492.137,877,0.065562
494.099,878,0.074362
496.013,879,0.065506
498.008,880,0.078772
500.217,881,0.071780
502.323,882,0.067751
502.363,883,0.059361
504.263,884,0.055624
506.383,885,0.060003
508.315,886,0.064416
509.902,887,0.060104
511.432,888,0.049124
513.068,889,0.049345
