time,true_x,true_z,est_x,est_z
5.152,-0.9026488023529139,-1.775488600781018,-5.0,5.0
5.184,-0.9043284458028517,-1.7755362194984001,-5.0,5.0
5.216,-0.9060324388288222,-1.7755836540895895,-5.0,5.0
5.248,-0.9076795120247548,-1.7756231549983874,-5.0,5.0
5.28,-0.9091841284269315,-1.7756840349519234,-5.0,5.0
5.312,-0.9106779233226794,-1.7757372784405339,-5.0,5.0
5.344,-0.9121609687095862,-1.7757832420035489,-5.0,5.0
5.376,-0.9135790016896201,-1.7758203076402466,-5.0,5.0
5.408,-0.9148236649372115,-1.7758470294024522,-5.0,5.0
5.44,-0.9160790450217734,-1.7758645630923247,-5.0,5.0
5.472,-0.9172197277484914,-1.7758753551252038,-5.0,5.0
5.504,-0.9183840269527249,-1.7758781061394797,-5.0,5.0
5.536,-0.9195207240275926,-1.7758739065159903,-5.0,5.0
5.568,-0.9206003890548232,-1.7758644552071021,-5.0,5.0
5.6,-0.9215633689666516,-1.775851597471902,-5.0,5.0
5.632,-0.9225001022023905,-1.7758315738036379,-5.0,5.0
5.664,-0.9233905433591991,-1.7758067701022822,-5.0,5.0
5.696,-0.9242365415335115,-1.775778463355716,-5.0,5.0
5.728,-0.9250957740017234,-1.7757437866502712,-5.0,5.0
5.76,-0.9258628743105435,-1.7757105993243252,-5.0,5.0
5.792,-0.9265871740405051,-1.7756741311416067,-5.0,5.0
5.824,-0.927309862141416,-1.7756332805829267,-5.0,5.0
5.856,-0.9279770398921934,-1.7755934089236112,-5.0,5.0
5.888,-0.9286065636005063,-1.7755525227318785,-5.0,5.0
5.92,-0.9292415167617366,-1.7755072302979211,-5.0,5.0
5.952,-0.9298461860042486,-1.7754630722614715,-5.0,5.0
5.984,-0.9304369269799375,-1.7754164548617684,-5.0,5.0
6.016,-0.9310166703559015,-1.775368936815562,-5.0,5.0
6.048,-0.9315923022841006,-1.7753194756906272,-5.0,5.0
6.08,-0.9321676695399337,-1.7752683171872206,-5.0,5.0
6.112,-0.9327475583172256,-1.775214914643822,-5.0,5.0
6.144,-0.9333372190100057,-1.775158211843688,-5.0,5.0
6.176,-0.9339376680538086,-1.7750990634806023,-5.0,5.0
6.208,-0.9345524770035315,-1.775036692833277,-5.0,5.0
6.24,-0.9351841934815952,-1.7749706177598916,-5.0,5.0
6.272,-0.9358351516655214,-1.7749001295740747,-5.0,5.0
6.304,-0.9365052130609586,-1.7748255103140043,-5.0,5.0
6.336,-0.937195068804997,-1.774746265184541,-5.0,5.0
6.368,-0.9379031185173905,-1.774662850303045,-5.0,5.0
6.4,-0.9386297079222603,-1.7745743043196214,-5.0,5.0
6.432,-0.9393710508069733,-1.774481634399068,-5.0,5.0
6.464,-0.9401259995860798,-1.7743840239189883,-5.0,5.0
6.496,-0.9408899964268544,-1.7742822379219485,-5.0,5.0
6.528,-0.9416584785824724,-1.774176752477063,-5.0,5.0
6.56,-0.9424260075653959,-1.774068333709938,-5.0,5.0
6.592,-0.9431864323005331,-1.7739580273514306,-5.0,5.0
6.624,-0.9439369694230818,-1.7738451902042838,-5.0,5.0
6.656,-0.9446738223102369,-1.7737306507047732,-5.0,5.0
6.688,-0.9453945223670589,-1.7736144860676166,-5.0,5.0
6.72,-0.9460930037971333,-1.773498913921402,-5.0,5.0
6.752,-0.9467656970699371,-1.7733846502206776,-5.0,5.0
6.784,-0.9474081260082753,-1.7732730870490283,-5.0,5.0
6.816,-0.9480178848718323,-1.7731643595731903,-5.0,5.0
6.848,-0.9485891127223867,-1.7730609104322235,-5.0,5.0
6.88,-0.9491198912868339,-1.772962883174219,-5.0,5.0
6.912,-0.9496070142321126,-1.7728714502283043,-5.0,5.0
6.944,-0.9500474168368614,-1.7727879257107724,-5.0,5.0
6.976,-0.9504405153445507,-1.77271227256387,-5.0,5.0
7.008,-0.9507842846364442,-1.772645629471309,-5.0,5.0
7.04,-0.9510794241834574,-1.7725875384282987,-5.0,5.0
7.072,-0.9513245082893979,-1.772539163647966,-5.0,5.0
7.104,-0.9515201251465485,-1.7725006396938,-5.0,5.0
7.136,-0.9516687978776774,-1.7724710331985094,-5.0,5.0
7.168,-0.9517717358759263,-1.772450381285468,-5.0,5.0
7.2,-0.9518301334939119,-1.772438906979825,-5.0,5.0
7.232,-0.9518477501498622,-1.772435270377361,-5.0,5.0
7.264,-0.9518420700453223,-1.7724359208722638,-5.0,5.0
7.296,-0.9518162759018136,-1.7724384611554713,-5.0,5.0
7.328,-0.9517740650303157,-1.772442769138196,-5.0,5.0
7.36,-0.951711477730659,-1.772447503534325,-5.0,5.0
7.392,-0.9516417379369523,-1.7724549536334593,-5.0,5.0
7.424,-0.9515572454445101,-1.77246239805103,-5.0,5.0
7.456,-0.9514731367461743,-1.7724727176628865,-5.0,5.0
7.488,-0.9513906625502219,-1.7724844290581925,-5.0,5.0
7.52,-0.9513151592932029,-1.7724978988944688,-5.0,5.0
7.552,-0.951239084721301,-1.772512173710531,-5.0,5.0
7.584,-0.9511608793952864,-1.7725269866363187,-5.0,5.0
7.616,-0.9510816704665295,-1.7725419950199914,-5.0,5.0
7.648,-0.9510031700320191,-1.7725564417746889,-5.0,5.0
7.68,-0.9509252810046862,-1.7725707090628111,-5.0,5.0
7.712,-0.9508476711428918,-1.7725853878869882,-5.0,5.0
7.744,-0.9507732556810644,-1.772598876900141,-5.0,5.0
7.776,-0.950701301554172,-1.7726119281368329,-5.0,5.0
7.808,-0.9506318497217225,-1.7726247663117822,-5.0,5.0
7.84,-0.9505668219203761,-1.7726363451599694,-5.0,5.0
7.872,-0.9505056803800149,-1.7726471840493867,-5.0,5.0
7.904,-0.950448486935423,-1.7726573789783246,-5.0,5.0
7.936,-0.9503962937347915,-1.7726663446852275,-5.0,5.0
7.968,-0.9503481326664057,-1.7726748260965977,-5.0,5.0
8.0,-0.9503054534168237,-1.7726819107045007,-5.0,5.0
8.032,-0.9502678571689788,-1.7726878468759857,-5.0,5.0
8.064,-0.9502338786608683,-1.7726936119366263,-5.0,5.0
8.096,-0.9502057187709418,-1.7726977340118957,-5.0,5.0
8.128,-0.9501818172604806,-1.7727011926168876,-5.0,5.0
