Step,True_X,True_Z,True_Theta,Est_X,Est_Z,Est_Theta
61,-0.7609129980161492,-2.606471433194936,-1.5685417028177977,-0.7628053794924491,-2.605114404814864,1.3525158943860423
62,-0.7609097286446104,-2.6064721713671397,-1.5685070947862323,-0.7641417990238426,-2.6073956613802185,1.401834505366789
63,-0.7609064310056054,-2.6064729115842518,-1.5684722177171828,-0.7487427293340319,-2.6602841864962095,1.481825113860506
64,-0.7609031048719873,-2.6064736538646502,-1.5684370697396595,-0.7621664100917129,-2.6159260492552323,1.4570402368827775
65,-0.7608997500154181,-2.606474398224188,-1.5684016489478791,-0.7687947081998321,-2.58197699239344,1.3977813971589834
66,-0.7608963662062824,-2.6064751446766055,-1.5683659534049983,-0.7859818847296887,-2.5866963770926312,1.4161693680870715
67,-0.7608929532136166,-2.606475893233879,-1.5683299811460991,-0.8044400048366133,-2.5749219135086587,1.3530035671999476
68,-0.7608895108050486,-2.6064766439065057,-1.5682937301805417,-0.7903937423256118,-2.5805462108411756,1.3915756529393182
69,-0.7608860387467492,-2.606477396703743,-1.5682571984938252,-0.7903209254786482,-2.5722515069672727,1.408430937354259
70,-0.7608825368033878,-2.606478151633804,-1.5682203840490672,-0.7919461047593722,-2.578833750165688,1.5136705524345218
71,-0.7608790047380977,-2.6064789087040205,-1.5681832847881416,-0.8120181839696989,-2.5924507964253416,1.5700152005925299
72,-0.7608754423124435,-2.6064796679209805,-1.5681458986325783,-0.7847560052499399,-2.593104079940911,1.605974350257636
73,-0.7608718492863945,-2.606480429290637,-1.5681082234842505,-0.7633226631019187,-2.6357857984228827,1.6722093567780352
74,-0.7608682254182992,-2.6064811928184017,-1.5680702572258949,-0.7725045871191114,-2.646650535542911,1.6415539098464507
75,-0.7608645704648641,-2.6064819585092174,-1.5680319977215091,-0.7912469685347935,-2.594427563736853,1.705011053918447
76,-0.7608608841811328,-2.6064827263676253,-1.567993442816631,-0.7774105408468401,-2.606749877326206,1.6786101791506163
77,-0.7608571663204678,-2.606483496397812,-1.5679545903385372,-0.7587990801299035,-2.60900652155916,1.9152861607406535
78,-0.7608534166345338,-2.6064842686036522,-1.5679154380963776,-0.7648701794697756,-2.5931933030535914,1.9394057600542487
79,-0.7608496348732794,-2.606485042988744,-1.5678759838812502,-0.7282714589060363,-2.5859530994892888,1.8674907565320178
80,-0.7608458207849237,-2.6064858195564344,-1.5678362254662261,-0.7452786660702301,-2.5837576250548304,1.8626387944635352
81,-0.7608419741159397,-2.606486598309844,-1.5677961606063464,-0.7547743779530952,-2.609325931067239,1.9026257803121756
82,-0.7608380946110407,-2.6064873792518846,-1.5677557870385845,-0.7369167657737085,-2.623765688213181,1.8022421704960436
83,-0.7608341820131652,-2.606488162385271,-1.5677151024817875,-0.7371168900770378,-2.621864354257485,1.6537096134101386
84,-0.7608302360634638,-2.606488947712536,-1.5676741046366016,-0.7241188549977547,-2.5962524111135554,1.5686212506215018
85,-0.760826256501284,-2.6064897352360368,-1.5676327911853754,-0.7517388706817402,-2.623795454170005,1.4432615033067908
86,-0.7608224260336658,-2.6064904271899163,-1.5675940288222179,-0.772972999949478,-2.605677713672749,1.4562201612701926
87,-0.760818823131015,-2.6064910097176086,-1.5675587646040368,-0.7914621128685371,-2.6129212993181623,1.3728340089980262
88,-0.7608154249109264,-2.6064915062426386,-1.567526683395323,-0.7906036745235089,-2.6033089479308473,1.2736393046075831
89,-0.7608122054163337,-2.6064919326013114,-1.567497407742324,-0.7458088350872435,-2.5754690427765703,1.2583575238939042
90,-0.7608091416711665,-2.6064923012770786,-1.5674705979064725,-0.724750406140269,-2.5938584038334587,1.3240675710940164
91,-0.7608062137062989,-2.606492622465831,-1.567445954602637,-0.7374768712425508,-2.6148800937980896,1.1436708171341547
92,-0.7608034041790532,-2.6064929045347887,-1.5674232146986633,-0.736838460326665,-2.5960507201085874,1.0155372051284903
93,-0.7608006980168978,-2.6064931543567,-1.5674021469109636,-0.6750735517714478,-2.586602712534311,0.9998619901709525
94,-0.7607980821098899,-2.606493377579717,-1.5673825479735388,-0.739469448254909,-2.5823769870298294,1.093036049505026
95,-0.7607955450466123,-2.606493578847949,-1.567364239261109,-0.7343893019552096,-2.60173314566485,1.0938987100521054
96,-0.7607930768872291,-2.6064937619819633,-1.5673470638157116,-0.77360855238986,-2.5984201076199764,1.1145819506528956
97,-0.7607906689681648,-2.606493930126566,-1.5673308837294058,-0.7786469975225941,-2.60470649098949,1.07675998989811
98,-0.7607883137337609,-2.606494085871837,-1.567315577840973,-0.7879885031517213,-2.6295032800403977,0.9122479362075333
99,-0.7607860045909904,-2.606494231352283,-1.5673010397093798,-0.7744373209894018,-2.651432894951191,1.138488448536034
100,-0.7607837357839138,-2.6064943683280952,-1.5672871758310785,-0.7716510785835491,-2.641652026355101,1.235442538463726
101,-0.760781502285064,-2.606494498251768,-1.567273904072093,-0.7885704518381732,-2.6141665410666772,1.4118964262729814
102,-0.7607792997013754,-2.6064946223227268,-1.5672611522892252,-0.8050278362453004,-2.604098635322076,1.6786003255963258
103,-0.7607771241926223,-2.606494741532151,-1.567248857117739,-0.7896465463194727,-2.5648758260445486,1.6645909653606754
104,-0.7607749724006374,-2.6064948566997606,-1.5672369629055802,-0.7556426329214949,-2.565230506064989,1.645231923133715
105,-0.760772841387825,-2.606494968504018,-1.5672254207765193,-0.7204215927104093,-2.594798641999874,1.7959806122235378
106,-0.7607707285837094,-2.6064950775069424,-1.5672141878067243,-0.7371390273224269,-2.6221525359941205,1.9698652529625402
107,-0.7607686317384277,-2.6064951841744985,-1.5672032263010873,-0.7829903582936399,-2.6090872042673396,1.9908579557309354
108,-0.7607665488822374,-2.606495288893365,-1.5671925031572926,-0.7767858775591694,-2.5796945386182992,2.053350892573716
109,-0.760764478290236,-2.6064953919847267,-1.5671819893070467,-0.7807915426356072,-2.5905459213658877,2.0304046229069272
110,-0.7607624184516039,-2.6064954937156277,-1.5671716592251141,-0.789813547764385,-2.6031022826378636,2.238226698602053
111,-0.7607603680427749,-2.6064955943083223,-1.5671614904979834,-0.8369778942453711,-2.6199176587162816,2.2854077011293827
112,-0.7607583259040195,-2.60649569394798,-1.5671514634449422,-0.7977716868166952,-2.6419021928753343,2.1729385865434683
113,-0.7607562910189976,-2.6064957927890395,-1.567141560785225,-0.7771681725480617,-2.6133700902667227,2.1735510674981118
114,-0.7607542624968963,-2.6064958909604505,-1.5671317673456109,-0.8244037277292072,-2.5748798531314816,2.1356161941669054
115,-0.7607522395568195,-2.6064959885700048,-1.5671220698036168,-0.8224958845726583,-2.566980146872683,1.881551213914144
116,-0.7607502215141383,-2.6064960857079105,-1.567112456461919,-0.8046362348008063,-2.607315144916888,1.7840113211234914
117,-0.7607482077685565,-2.6064961824497517,-1.5671029170502533,-0.8433253172629146,-2.6049285107666904,1.779204889397637
118,-0.7607461977936649,-2.606496278858936,-1.5670934425514182,-0.8356121859247557,-2.6153389109618392,2.0668216748310884
119,-0.7607441911278051,-2.6064963749887204,-1.5670840250484837,-0.7983123163386485,-2.5976368422153997,2.2895456275262243
120,-0.7607421873660672,-2.606496470883895,-1.5670746575905967,-0.7755504907639251,-2.642970064631843,2.187224894054375
121,-0.7607401861532869,-2.606496566582174,-1.5670653340751566,-0.7956737892028816,-2.6092967114258894,2.246301594818153
122,-0.7607381871779103,-2.6064966621153562,-1.5670560491443273,-0.7984015261312403,-2.6088798814359917,2.607421167095211
123,-0.7607361901666213,-2.6064967575102864,-1.5670467980941885,-0.7762819207582654,-2.6077417949535318,-2.900492537189481
124,-0.7607341948796325,-2.606496852789657,-1.5670375767949378,-0.7644939150596746,-2.5793049790193336,-2.9682285941570252
125,-0.760732201106561,-2.6064969479726736,-1.5670283816208423,-0.7892835531370282,-2.5912020869961365,-3.028242782847812
126,-0.7607302086628118,-2.606497043075614,-1.5670192093887219,-0.7974475727334472,-2.6295345992874006,-3.075592042076811
127,-0.7607282173864102,-2.606497138112289,-1.5670100573039338,-0.7638798949294036,-2.647482557135551,-3.0425192378257564
128,-0.7607262271352219,-2.606497233094434,-1.5670009229129545,-0.7446831280172538,-2.655418470701233,-3.1004788310823894
129,-0.7607242377845185,-2.6064973280320327,-1.5669918040617363,-0.7501624220866189,-2.6120396071915692,-3.0478491246044563
130,-0.7607222492248407,-2.6064974229335864,-1.5669826988591549,-0.7544736269234142,-2.5927768077487685,-3.038035005954714
131,-0.7607202613601255,-2.6064975178063463,-1.5669736056449037,-0.7590172884579793,-2.574983859111444,-3.07189291613834
132,-0.7607182741060637,-2.6064976126565007,-1.566964522961321,-0.7610456123462619,-2.606915466478456,-2.986575548382292
133,-0.7607162873886588,-2.606497707489339,-1.5669554495286404,-0.7609021176657946,-2.5920240796979033,-2.9205343060662665
