Step,True_X,True_Z,True_Theta,Est_X,Est_Z,Est_Theta,RMSE
89,0.23771865380999693,-2.1549032731135105,-1.513901028188679,0.25744943267678105,-0.6509111503623191,-0.866924604259757,1.5041215406117703
90,0.23800634458360004,-2.1497916722695845,-1.5138757913670287,0.36876203650383,-0.8260198531743286,-0.09779287074609748,1.3302138474697596
91,0.23829416433857362,-2.1446800769077656,-1.5138505539153977,0.5375019289403995,-0.7394416266306604,-1.9483526655454209,1.4367394991908666
92,0.2385821130791781,-2.1395684870316036,-1.5138253158325892,0.2569214938376548,-1.099061967239316,2.6491313185326946,1.0406681270303528
93,0.23887019080965124,-2.1344569026445535,-1.5138000771173847,0.2671258692368771,-0.9127718576421191,-0.276236129481767,1.2220117563043258
94,0.23915839753418225,-2.129345323749977,-1.513774837768558,0.5701518235288564,-0.6882846655797279,1.6218477327326024,1.4785846166445
95,0.23944673325688673,-2.1242337503511477,-1.5137495977848765,0.2670392213846115,-0.9083044590664735,1.7855974345303072,1.216242322403364
96,0.23973519798178303,-2.1191221824512594,-1.513724357165111,0.5698769096749295,-0.8889672443131994,-1.0897129307331515,1.2736854877186654
97,0.24002379171277038,-2.1140106200534285,-1.5136991159080349,0.4717801340259953,-0.8928303043811086,-0.7760291809248445,1.2429772184509063
98,0.24031251445360904,-2.1088990631607096,-1.5136738740124394,0.34642233609661793,-0.9610134723440454,-1.7844901124014936,1.152779520920472
99,0.24060136620790284,-2.1037875117761,-1.5136486314771316,0.3735386086624642,-0.8102682805274265,1.5893010139079358,1.3003323852160193
100,0.24089034697908537,-2.0986759659025562,-1.513623388300938,0.4270226430670272,-0.6817400044152707,-2.8295429024762453,1.429109075824119
101,0.2411794567704086,-2.093564425543001,-1.5135981444827105,0.40924983410460497,-0.8417365050784336,2.726867519975314,1.2630600912830325
102,0.2414686955849351,-2.0884528907003377,-1.5135729000213294,0.2086109827928618,-0.7913571186928491,-2.541340273471693,1.297511877036056
103,0.241758063425534,-2.083341361377465,-1.5135476549157048,0.32444997376809315,-0.8425379765608997,-1.9042378627723244,1.2435557855634574
104,0.2420475602948806,-2.078229837577286,-1.5135224091647763,0.28198792143256596,-0.9465138212374391,-3.036645222115585,1.1324205818016297
105,0.2423371861954588,-2.073118319302722,-1.5134971627675131,0.2795200968635701,-0.9107805797279955,-2.356995512395548,1.1629323237770277
106,0.2426269411295684,-2.068006806556725,-1.51347191572292,0.31866462450923694,-0.6654860767109645,1.8298365213786254,1.404580409567509
107,0.24291682509933515,-2.062895299342289,-1.5134466680300231,0.512829772850558,-0.9521597661615517,-0.2609418945021327,1.1430601139196708
